run_name,metric_type,step,value
2026-03-17_NaiveBaseline,train_loss,12100,2.034700
2026-03-17_NaiveBaseline,train_loss,12150,2.060100
2026-03-17_NaiveBaseline,train_loss,12200,2.038700
2026-03-17_NaiveBaseline,train_loss,12250,2.038100
2026-03-17_NaiveBaseline,train_loss,12300,2.130200
2026-03-17_NaiveBaseline,train_loss,12350,2.127200
2026-03-17_NaiveBaseline,train_loss,12400,2.182800
2026-03-17_NaiveBaseline,train_loss,12450,2.100300
2026-03-17_NaiveBaseline,train_loss,12500,2.069600
2026-03-17_NaiveBaseline,train_loss,12550,2.130200
2026-03-17_NaiveBaseline,train_loss,12600,2.052700
2026-03-17_NaiveBaseline,train_loss,12650,2.143800
2026-03-17_NaiveBaseline,train_loss,12700,2.268900
2026-03-17_NaiveBaseline,train_loss,12750,2.143800
2026-03-17_NaiveBaseline,train_loss,12800,2.010500
2026-03-17_NaiveBaseline,train_loss,12850,2.041300
2026-03-17_NaiveBaseline,train_loss,12900,2.063000
2026-03-17_NaiveBaseline,train_loss,12950,2.162700
2026-03-17_NaiveBaseline,train_loss,13000,1.957900
2026-03-17_NaiveBaseline,train_loss,13050,2.020600
2026-03-17_NaiveBaseline,train_loss,13100,1.929400
2026-03-17_NaiveBaseline,train_loss,13150,2.068900
2026-03-17_NaiveBaseline,train_loss,13200,2.007400
2026-03-17_NaiveBaseline,train_loss,13250,2.059600
2026-03-17_NaiveBaseline,train_loss,13300,1.947400
2026-03-17_NaiveBaseline,train_loss,13350,2.045900
2026-03-17_NaiveBaseline,train_loss,13400,2.044100
2026-03-17_NaiveBaseline,train_loss,13450,2.163800
2026-03-17_NaiveBaseline,train_loss,13500,2.121600
2026-03-17_NaiveBaseline,train_loss,13550,2.185500
2026-03-17_NaiveBaseline,train_loss,13600,2.023400
2026-03-17_NaiveBaseline,train_loss,13650,2.031600
2026-03-17_NaiveBaseline,train_loss,13700,2.032300
2026-03-17_NaiveBaseline,train_loss,13750,1.991000
2026-03-17_NaiveBaseline,val_loss,0,6.937000
2026-03-17_NaiveBaseline,val_bpb,0,4.097800
2026-03-17_NaiveBaseline,val_loss,200,2.839700
2026-03-17_NaiveBaseline,val_bpb,200,1.677400
2026-03-17_NaiveBaseline,val_loss,400,2.568700
2026-03-17_NaiveBaseline,val_bpb,400,1.517400
2026-03-17_NaiveBaseline,val_loss,600,2.445600
2026-03-17_NaiveBaseline,val_bpb,600,1.444700
2026-03-17_NaiveBaseline,val_loss,800,2.386800
2026-03-17_NaiveBaseline,val_bpb,800,1.409900
2026-03-17_NaiveBaseline,val_loss,1000,2.337000
2026-03-17_NaiveBaseline,val_bpb,1000,1.380500
2026-03-17_NaiveBaseline,val_loss,1200,2.302600
2026-03-17_NaiveBaseline,val_bpb,1200,1.360200
2026-03-17_NaiveBaseline,val_loss,1400,2.281200
2026-03-17_NaiveBaseline,val_bpb,1400,1.347500
2026-03-17_NaiveBaseline,val_loss,1600,2.263100
2026-03-17_NaiveBaseline,val_bpb,1600,1.336800
2026-03-17_NaiveBaseline,val_loss,1800,2.247900
2026-03-17_NaiveBaseline,val_bpb,1800,1.327900
2026-03-17_NaiveBaseline,val_loss,2000,2.236800
2026-03-17_NaiveBaseline,val_bpb,2000,1.321300
2026-03-17_NaiveBaseline,val_loss,2200,2.225100
2026-03-17_NaiveBaseline,val_bpb,2200,1.314400
2026-03-17_NaiveBaseline,val_loss,2400,2.215800
2026-03-17_NaiveBaseline,val_bpb,2400,1.308900
2026-03-17_NaiveBaseline,val_loss,2600,2.209700
2026-03-17_NaiveBaseline,val_bpb,2600,1.305300
2026-03-17_NaiveBaseline,val_loss,2800,2.201100
2026-03-17_NaiveBaseline,val_bpb,2800,1.300200
2026-03-17_NaiveBaseline,val_loss,3000,2.195300
2026-03-17_NaiveBaseline,val_bpb,3000,1.296800
2026-03-17_NaiveBaseline,val_loss,3200,2.188100
2026-03-17_NaiveBaseline,val_bpb,3200,1.292500
2026-03-17_NaiveBaseline,val_loss,3400,2.185400
2026-03-17_NaiveBaseline,val_bpb,3400,1.290900
2026-03-17_NaiveBaseline,val_loss,3600,2.178400
2026-03-17_NaiveBaseline,val_bpb,3600,1.286800
2026-03-17_NaiveBaseline,val_loss,3800,2.176700
2026-03-17_NaiveBaseline,val_bpb,3800,1.285800
2026-03-17_NaiveBaseline,val_loss,4000,2.171800
2026-03-17_NaiveBaseline,val_bpb,4000,1.282900
2026-03-17_NaiveBaseline,val_loss,4200,2.166600
2026-03-17_NaiveBaseline,val_bpb,4200,1.279800
2026-03-17_NaiveBaseline,val_loss,4400,2.162500
2026-03-17_NaiveBaseline,val_bpb,4400,1.277400
2026-03-17_NaiveBaseline,val_loss,4600,2.159700
2026-03-17_NaiveBaseline,val_bpb,4600,1.275700
2026-03-17_NaiveBaseline,val_loss,4800,2.157900
2026-03-17_NaiveBaseline,val_bpb,4800,1.274700
2026-03-17_NaiveBaseline,val_loss,5000,2.153200
2026-03-17_NaiveBaseline,val_bpb,5000,1.271900
2026-03-17_NaiveBaseline,val_loss,5200,2.150100
2026-03-17_NaiveBaseline,val_bpb,5200,1.270100
2026-03-17_NaiveBaseline,val_loss,5400,2.147500
2026-03-17_NaiveBaseline,val_bpb,5400,1.268500
2026-03-17_NaiveBaseline,val_loss,5600,2.145500
2026-03-17_NaiveBaseline,val_bpb,5600,1.267400
2026-03-17_NaiveBaseline,val_loss,5800,2.143900
2026-03-17_NaiveBaseline,val_bpb,5800,1.266400
2026-03-17_NaiveBaseline,val_loss,6000,2.144500
2026-03-17_NaiveBaseline,val_bpb,6000,1.266800
2026-03-17_NaiveBaseline,val_loss,6200,2.141600
2026-03-17_NaiveBaseline,val_bpb,6200,1.265100
2026-03-17_NaiveBaseline,val_loss,6400,2.137700
2026-03-17_NaiveBaseline,val_bpb,6400,1.262800
2026-03-17_NaiveBaseline,val_loss,6600,2.135400
2026-03-17_NaiveBaseline,val_bpb,6600,1.261400
2026-03-17_NaiveBaseline,val_loss,6800,2.134200
2026-03-17_NaiveBaseline,val_bpb,6800,1.260700
2026-03-17_NaiveBaseline,val_loss,7000,2.132600
2026-03-17_NaiveBaseline,val_bpb,7000,1.259800
2026-03-17_NaiveBaseline,val_loss,7200,2.129900
2026-03-17_NaiveBaseline,val_bpb,7200,1.258200
2026-03-17_NaiveBaseline,val_loss,7400,2.128200
2026-03-17_NaiveBaseline,val_bpb,7400,1.257200
2026-03-17_NaiveBaseline,val_loss,7600,2.128900
2026-03-17_NaiveBaseline,val_bpb,7600,1.257600
2026-03-17_NaiveBaseline,val_loss,7800,2.125200
2026-03-17_NaiveBaseline,val_bpb,7800,1.255400
2026-03-17_NaiveBaseline,val_loss,8000,2.123200
2026-03-17_NaiveBaseline,val_bpb,8000,1.254200
2026-03-17_NaiveBaseline,val_loss,8200,2.122800
2026-03-17_NaiveBaseline,val_bpb,8200,1.254000
2026-03-17_NaiveBaseline,val_loss,8400,2.120100
2026-03-17_NaiveBaseline,val_bpb,8400,1.252400
2026-03-17_NaiveBaseline,val_loss,8600,2.120600
2026-03-17_NaiveBaseline,val_bpb,8600,1.252600
2026-03-17_NaiveBaseline,val_loss,8800,2.119200
2026-03-17_NaiveBaseline,val_bpb,8800,1.251800
2026-03-17_NaiveBaseline,val_loss,9000,2.120400
2026-03-17_NaiveBaseline,val_bpb,9000,1.252500
2026-03-17_NaiveBaseline,val_loss,9200,2.117000
2026-03-17_NaiveBaseline,val_bpb,9200,1.250500
2026-03-17_NaiveBaseline,val_loss,9400,2.113900
2026-03-17_NaiveBaseline,val_bpb,9400,1.248700
2026-03-17_NaiveBaseline,val_loss,9600,2.113800
2026-03-17_NaiveBaseline,val_bpb,9600,1.248600
2026-03-17_NaiveBaseline,val_loss,9800,2.114300
2026-03-17_NaiveBaseline,val_bpb,9800,1.248900
2026-03-17_NaiveBaseline,val_loss,10000,2.112200
2026-03-17_NaiveBaseline,val_bpb,10000,1.247700
2026-03-17_NaiveBaseline,val_loss,10200,2.111200
2026-03-17_NaiveBaseline,val_bpb,10200,1.247100
2026-03-17_NaiveBaseline,val_loss,10400,2.109800
2026-03-17_NaiveBaseline,val_bpb,10400,1.246300
2026-03-17_NaiveBaseline,val_loss,10600,2.108100
2026-03-17_NaiveBaseline,val_bpb,10600,1.245300
2026-03-17_NaiveBaseline,val_loss,10800,2.108100
2026-03-17_NaiveBaseline,val_bpb,10800,1.245300
2026-03-17_NaiveBaseline,val_loss,11000,2.106900
2026-03-17_NaiveBaseline,val_bpb,11000,1.244600
2026-03-17_NaiveBaseline,val_loss,11200,2.108000
2026-03-17_NaiveBaseline,val_bpb,11200,1.245200
2026-03-17_NaiveBaseline,val_loss,11400,2.105100
2026-03-17_NaiveBaseline,val_bpb,11400,1.243500
2026-03-17_NaiveBaseline,val_loss,11600,2.105400
2026-03-17_NaiveBaseline,val_bpb,11600,1.243700
2026-03-17_NaiveBaseline,val_loss,11800,2.104800
2026-03-17_NaiveBaseline,val_bpb,11800,1.243300
2026-03-17_NaiveBaseline,val_loss,12000,2.102900
2026-03-17_NaiveBaseline,val_bpb,12000,1.242200
2026-03-17_NaiveBaseline,val_loss,12200,2.102100
2026-03-17_NaiveBaseline,val_bpb,12200,1.241800
2026-03-17_NaiveBaseline,val_loss,12400,2.100100
2026-03-17_NaiveBaseline,val_bpb,12400,1.240600
2026-03-17_NaiveBaseline,val_loss,12600,2.099800
2026-03-17_NaiveBaseline,val_bpb,12600,1.240400
2026-03-17_NaiveBaseline,val_loss,12800,2.093000
2026-03-17_NaiveBaseline,val_bpb,12800,1.236400
2026-03-17_NaiveBaseline,val_loss,13000,2.085900
2026-03-17_NaiveBaseline,val_bpb,13000,1.232200
2026-03-17_NaiveBaseline,val_loss,13200,2.079000
2026-03-17_NaiveBaseline,val_bpb,13200,1.228100
2026-03-17_NaiveBaseline,val_loss,13400,2.071800
2026-03-17_NaiveBaseline,val_bpb,13400,1.223900
2026-03-17_NaiveBaseline,val_loss,13600,2.064900
2026-03-17_NaiveBaseline,val_bpb,13600,1.219700
2026-03-17_NaiveBaseline,val_loss,13780,2.060600
2026-03-17_NaiveBaseline,val_bpb,13780,1.217200
2026-03-17_NaiveBaseline,final_bpb,13780,1.22436570
